sku,nombre_producto,n_puntos,beta,alpha,r2
104535250,MERMELADA MINI MORA RELKON 20 g,8.0,41.84644278812876,-329.0276030059992,0.4710596923690917
104535260,MIEL MINI RELKON 20 g,27.0,2.256089444497343,-17.4836183474913,0.003389033955647606
104535300,QUESO GRANA PADANO GRANAROLO 1KG APROX,75.0,1.7460782081653754,-14.782642159027832,0.021838811454867654
104535350,MUFFIN RELLENO CHOCOLATE PAVESI 115 GR,66.0,-3.6818446802064333,35.60131798979896,0.07819450527680409
104535360,MUFFIN RELLENO MANJAR PAVESI  115 GR,50.0,-2.3220224546729544,23.46403369916528,0.06576246731797471
104535380,Not Meat Molida Congelada 250GR,6.0,-18.61613991368991,176.31723168281283,0.885561066538805
104535390,QUESO GRANA PADANO RUEDA GRANAROLO 39 KG,1.0,,,
104535400,QUESO QUATTROCENTO RUEDA GRANAROLO 38 KG,13.0,8.542109171116742,-79.17332126374737,0.32542117688267946
104535410,MERLUZA AUSTRAL FILETE 500G UP CJ14k APP,20.0,-4.146552840613169,41.02184469001705,0.04897692086578185
104535420,ACEITE MARAVILLA CASALIVA 5 l,34.0,2.216219080779025,-13.37953479921479,0.035273693032956153
104535430,ACEITE MARAVILLA CASALIVA 900 cc,25.0,0.6157489936824877,-2.5658125262376754,0.02634348097115796
104535440,ACEITE VEGETAL CASALIVA 5 l,81.0,2.858496637097959,-17.608169121742417,0.04647889858564092
104535450,ACEITE VEGETAL CASALIVA 900 cc,6.0,4.69900972866439,-33.526756007460726,0.7301656874985392
104535480,NOT CHEESE CHEDDAR LAMINADO 200 GR,18.0,-19.079412599188114,180.7509981836977,0.18510833597929632
104535490,NOT CHEESE MANTECOSO LAMINADO 200 GR,16.0,-8.203974486025475,78.1459876604496,0.0910228404693455
104535500,EMPANADA DE QUESO INTERBAKE 24 G,27.0,17.540476120570673,-150.25857229616156,0.05069803402214383
104535510,"POLLO ENTERO 1,8 BRASIL CJ 14,4 KG",35.0,-4.338747461725049,39.15856299205204,0.33092078569374167
104535520,KIMCHI LA FERMENTISTA 950 g,5.0,-0.20457223185264303,2.7721523520090514,0.039885389573500775
104535540,SAUERKRAUT PURPURA LA FERMENTISTA 950 g,8.0,1.3985379219836276,-11.976344818534768,0.09548244692748037
